period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,30549,8,0,0,41972,0,0,335780,0,0,41972,335780,41972,41972
2017,156,842,30551,8,0,0,9516,0,0,141428,0,0,9516,141428,9516,9516
2017,156,842,30559,8,0,0,196710,0,0,2416894,0,0,196710,2416894,196710,196710
2017,156,842,30562,8,0,0,140546,0,0,844602,0,0,140546,844602,140546,140546
2017,156,842,30569,8,0,0,318664,0,0,1484828,0,0,318664,1484828,318664,318664
2017,156,842,306,8,30998470,0,20699208,584319772,0,203005838,30998470,0,20699208,-381313934,-10299262,-10299262
2017,156,842,30611,8,67460,0,0,895990,0,0,67460,0,0,-895990,-67460,-67460
2017,156,842,30612,8,784,0,20,43526,0,406,784,0,20,-43120,-764,-764
2017,156,842,30614,8,4201072,0,9055206,69680208,0,79451084,4201072,0,9055206,9770876,4854134,4854134
2017,156,842,30615,8,0,0,22076,0,0,394056,0,0,22076,394056,22076,22076
2017,156,842,30616,8,455824,0,66794,1595554,0,314582,455824,0,66794,-1280972,-389030,-389030
2017,156,842,30617,8,568928,0,9712550,3202246,0,107283248,568928,0,9712550,104081002,9143622,9143622
2017,156,842,30619,8,365022,0,92272,403354,0,1939488,365022,0,92272,1536134,-272750,-272750
2017,156,842,30631,8,2918310,0,0,87386178,0,0,2918310,0,0,-87386178,-2918310,-2918310
2017,156,842,30632,8,12949778,0,0,245809320,0,0,12949778,0,0,-245809320,-12949778,-12949778
2017,156,842,30633,8,9435360,0,0,156446272,0,0,9435360,0,0,-156446272,-9435360,-9435360
2017,156,842,30635,8,22456,0,0,894496,0,0,22456,0,0,-894496,-22456,-22456
2017,156,842,30636,8,13160,0,88,17941340,0,3820,13160,0,88,-17937520,-13072,-13072
2017,156,842,30639,8,198,0,0,17302,0,0,198,0,0,-17302,-198,-198
2017,156,842,30691,8,118,0,0,3986,0,0,118,0,0,-3986,-118,-118
2017,156,842,30695,8,0,0,1717378,0,0,13389580,0,0,1717378,13389580,1717378,1717378
2017,156,842,30699,8,0,0,32824,0,0,229574,0,0,32824,229574,32824,32824
2017,156,842,307,8,57617750,0,91576490.93,238999254,0,730088642,57617750,0,91576490.93,491089388,33958740.93,33958740.93
2017,156,842,30711,8,218984,0,0,1441370,0,0,218984,0,0,-1441370,-218984,-218984
2017,156,842,30721,8,46,0,0,1048,0,0,46,0,0,-1048,-46,-46
2017,156,842,30722,8,55386,0,11217116,1006168,0,178830440,55386,0,11217116,177824272,11161730,11161730
2017,156,842,30729,8,28800,0,2281378,604988,0,28363930,28800,0,2281378,27758942,2252578,2252578
2017,156,842,30731,8,14380,0,0,73420,0,0,14380,0,0,-73420,-14380,-14380
2017,156,842,30732,8,0,0,10,0,0,150,0,0,10,150,10,10
2017,156,842,30739,8,0,0,77040,0,0,4062694,0,0,77040,4062694,77040,77040
2017,156,842,30743,8,53669990,0,72780794,149748246,0,478394828,53669990,0,72780794,328646582,19110804,19110804
2017,156,842,30749,8,1006000,0,203152,2481090,0,2133226,1006000,0,203152,-347864,-802848,-802848
2017,156,842,30752,8,0,0,3671740.934,0,0,29226112,0,0,3671740.934,29226112,3671740.934,3671740.934
2017,156,842,30759,8,0,0,450734,0,0,4519534,0,0,450734,4519534,450734,450734
2017,156,842,30760,8,196648,0,0,1534590,0,0,196648,0,0,-1534590,-196648,-196648
2017,156,842,30771,8,3890,0,0,38150,0,0,3890,0,0,-38150,-3890,-3890
2017,156,842,30772,8,18,0,5430,1060,0,19548,18,0,5430,18488,5412,5412
2017,156,842,30779,8,48760,0,0,581966,0,0,48760,0,0,-581966,-48760,-48760
2017,156,842,30782,8,1356,0,0,19312,0,0,1356,0,0,-19312,-1356,-1356
2017,156,842,30783,8,0,0,11228,0,0,265680,0,0,11228,265680,11228,11228
2017,156,842,30791,8,2373492,0,0,81467846,0,0,2373492,0,0,-81467846,-2373492,-2373492
2017,156,842,30792,8,0,0,652700,0,0,3166250,0,0,652700,3166250,652700,652700
2017,156,842,30799,8,0,0,225168,0,0,1106250,0,0,225168,1106250,225168,225168
2017,156,842,308,8,646752,0,685992,1524192,0,7942584,646752,0,685992,6418392,39240,39240
2017,156,842,30811,8,1226,0,0,20262,0,0,1226,0,0,-20262,-1226,-1226
