"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","583","FSM","FS Micronesia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","382","false","-1","N/A","0","false","0","true","0","false","0","21235","21235","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","384","CIV","Côte d'Ivoire","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","283","false","-1","N/A","0","false","0","true","0","false","0","6720","6720","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","703","SVK","Slovakia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","772723","false","-1","N/A","0","false","0","true","0","false","0","604498","604498","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","92","VGB","Br. Virgin Isds","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","368","false","-1","N/A","0","false","0","true","0","false","0","42782","42782","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","804","UKR","Ukraine","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","155129","false","-1","N/A","0","false","0","true","0","false","0","212188","212188","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","818","EGY","Egypt","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","59650","false","-1","N/A","0","false","0","true","0","false","0","131096","131096","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","30174990","false","-1","N/A","0","false","0","true","0","false","0","169491276","169491276","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","826","GBR","United Kingdom","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3907445","false","-1","N/A","0","false","0","true","0","false","0","68629590","68629590","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","659","KNA","Saint Kitts and Nevis","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","14980","false","-1","N/A","0","false","0","true","0","false","0","39827","39827","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","688","SRB","Serbia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","16709","false","-1","N/A","0","false","0","true","0","false","0","49707","49707","4","true","false",
