"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","682","280469",8,0,0,1816800,0,0,3746640,0,0,1816800,3746640,1816800,1816800
2017,"156","170","280469",8,0,0,1288000,0,0,2356200,0,0,1288000,2356200,1288000,1288000
2017,"156","710","280469",8,0,0,1161000,0,0,2202644,0,0,1161000,2202644,1161000,1161000
2017,"156","608","280469",8,0,0,888322,0,0,1644012,0,0,888322,1644012,888322,888322
2017,"156","300","280469",8,0,0,891650,0,0,987760,0,0,891650,987760,891650,891650
2017,"156","288","280469",8,0,0,482000,0,0,847844,0,0,482000,847844,482000,482000
2017,"156","586","280469",8,0,0,451966,0,0,807628,0,0,451966,807628,451966,451966
2017,"156","56","280469",8,20,0,36942,166,0,790716,20,0,36942,790550,36922,36922
2017,"156","428","280469",8,0,0,576000,0,0,750390,0,0,576000,750390,576000,576000
2017,"156","104","280469",8,0,0,446000,0,0,731770,0,0,446000,731770,446000,446000
2017,"156","616","280469",8,0,0,450000,0,0,692300,0,0,450000,692300,450000,450000
2017,"156","24","280469",8,0,0,298000,0,0,651560,0,0,298000,651560,298000,298000
2017,"156","862","280469",8,0,0,288000,0,0,642440,0,0,288000,642440,288000,288000
2017,"156","788","280469",8,0,0,392000,0,0,601600,0,0,392000,601600,392000,392000
2017,"156","120","280469",8,0,0,340000,0,0,578740,0,0,340000,578740,340000,340000
2017,"156","642","280469",8,0,0,296000,0,0,451782,0,0,296000,451782,296000,296000
2017,"156","842","280469",8,15968.282,0,885004,156486,0,575836,15968.282,0,885004,419350,869035.718,869035.718
2017,"156","512","280469",8,0,0,234000,0,0,415936,0,0,234000,415936,234000,234000
2017,"156","344","280469",8,0,0,240890,0,0,355470,0,0,240890,355470,240890,240890
2017,"156","400","280469",8,0,0,2e+05,0,0,355250,0,0,2e+05,355250,2e+05,2e+05
2017,"156","504","280469",8,0,0,192000,0,0,343872,0,0,192000,343872,192000,192000
2017,"156","268","280469",8,0,0,194000,0,0,341268,0,0,194000,341268,194000,194000
2017,"156","100","280469",8,0,0,150000,0,0,292306,0,0,150000,292306,150000,150000
2017,"156","702","280469",8,0,0,288096,0,0,285884,0,0,288096,285884,288096,288096
2017,"156","320","280469",8,0,0,376000,0,0,285280,0,0,376000,285280,376000,376000
2017,"156","192","280469",8,0,0,144000,0,0,280800,0,0,144000,280800,144000,144000
2017,"156","218","280469",8,0,0,152000,0,0,279866,0,0,152000,279866,152000,152000
2017,"156","398","280469",8,0,0,124000,0,0,237600,0,0,124000,237600,124000,124000
2017,"156","12","280469",8,0,0,179400,0,0,234900,0,0,179400,234900,179400,179400
2017,"156","499","280469",8,0,0,96000,0,0,176640,0,0,96000,176640,96000,96000
2017,"156","860","280469",8,0,0,103056,0,0,172752,0,0,103056,172752,103056,103056
2017,"156","604","280469",8,0,0,102000,0,0,167590,0,0,102000,167590,102000,102000
2017,"156","178","280469",8,0,0,96000,0,0,155280,0,0,96000,155280,96000,96000
2017,"156","752","280469",8,0,0,50000,0,0,125000,0,0,50000,125000,50000,50000
2017,"156","686","280469",8,0,0,50000,0,0,103000,0,0,50000,103000,50000,50000
2017,"156","440","280469",8,0,0,50000,0,0,81000,0,0,50000,81000,50000,50000
2017,"156","266","280469",8,0,0,48000,0,0,74880,0,0,48000,74880,48000,48000
2017,"156","152","280469",8,0,0,50000,0,0,73750,0,0,50000,73750,50000,50000
2017,"156","50","280469",8,0,0,62700,0,0,72590,0,0,62700,72590,62700,62700
2017,"156","417","280469",8,0,0,40000,0,0,64000,0,0,40000,64000,40000,40000
2017,"156","251","280469",8,0,0,6000,0,0,40318,0,0,6000,40318,6000,6000
2017,"156","231","280469",8,0,0,68990,0,0,29932,0,0,68990,29932,68990,68990
2017,"156","124","280469",8,11028,0,125200,276156,0,297976,11028,0,125200,21820,114172,114172
2017,"156","144","280469",8,0,0,10000,0,0,20000,0,0,10000,20000,10000,10000
2017,"156","214","280469",8,0,0,12800,0,0,19200,0,0,12800,19200,12800,12800
2017,"156","760","280469",8,0,0,12022,0,0,19034,0,0,12022,19034,12022,12022
2017,"156","376","280469",8,0,0,6002,0,0,11354,0,0,6002,11354,6002,6002
2017,"156","246","280469",8,0,0,2000,0,0,3992,0,0,2000,3992,2000,2000
2017,"156","757","280469",8,0,0,10,0,0,2000,0,0,10,2000,10,10
2017,"156","40","280469",8,2000,0,0,3308,0,0,2000,0,0,-3308,-2000,-2000
2017,"156","208","280469",8,44810,0,0,46662,0,0,44810,0,0,-46662,-44810,-44810
2017,"156","156","280469",8,2312695.266,2312695.266,0,3778840,3778840,0,2312695.266,2312695.266,0,-3778840,-2312695.266,-2312695.266
2017,"156","408","280469",8,3937260,0,140,5644358,0,344,3937260,0,140,-5644014,-3937120,-3937120
2017,"156","410","391000",8,15942868,0,92566474,121805956,0,241625022,15942868,0,92566474,119819066,76623606,76623606
2017,"156","699","391000",8,1107620,0,37409488,4210262,0,105435844,1107620,0,37409488,101225582,36301868,36301868
2017,"156","344","391000",8,54908,0,11953390.99,494908,0,55006992,54908,0,11953390.99,54512084,11898482.99,11898482.99
2017,"156","704","391000",8,1764060,0,19199644,6568068,0,60363348,1764060,0,19199644,53795280,17435584,17435584
2017,"156","792","391000",8,320,0,16270702,594,0,46025354,320,0,16270702,46024760,16270382,16270382
2017,"156","643","391000",8,113650,0,14684364,2213536,0,37060192,113650,0,14684364,34846656,14570714,14570714
2017,"156","364","391000",8,0,0,11726562,0,0,33457074,0,0,11726562,33457074,11726562,11726562
2017,"156","458","391000",8,1874904,0,13621614,4878560,0,35760216,1874904,0,13621614,30881656,11746710,11746710
2017,"156","528","391000",8,1441946.562,0,14993922,6959644,0,37465484,1441946.562,0,14993922,30505840,13551975.438,13551975.438
2017,"156","360","391000",8,887458,0,10247988,1230962,0,29744918,887458,0,10247988,28513956,9360530,9360530
2017,"156","586","391000",8,0,0,9547276,0,0,24604628,0,0,9547276,24604628,9547276,9547276
2017,"156","784","391000",8,42,0,9026310,1726,0,24432642,42,0,9026310,24430916,9026268,9026268
2017,"156","76","391000",8,25630,0,7219928,109950,0,21349796,25630,0,7219928,21239846,7194298,7194298
